file_path,dataset_name,split,label,file_name,suffix,file_size_kb,sha256,is_valid,error_message,width,height,aspect_ratio,pixel_count,mode,mean_r,mean_g,mean_b,mean_gray,std_gray,sharpness_score,near_black_ratio,near_white_ratio
data/casting_data/casting_data/train/def_front/cast_def_0_0.jpeg,train,训练集,缺陷件,cast_def_0_0.jpeg,.jpeg,8.915,aa76b0fa1a292bf931f4795512f1070d995ec7a098ace06053318ea3ffe15d6f,1,,300,300,1.0,90000,RGB,132.1155,132.1155,132.1155,132.1155,53.4461,112.6088,0.046156,0.002611
data/casting_data/casting_data/train/def_front/cast_def_0_1000.jpeg,train,训练集,缺陷件,cast_def_0_1000.jpeg,.jpeg,9.75,465561bcf16857ee3b10455ad8728e5f70c8e170a1e086790784942d064ddf0b,1,,300,300,1.0,90000,RGB,135.5526,135.5526,135.5526,135.5526,61.7815,165.4858,0.062044,0.002633
data/casting_data/casting_data/train/def_front/cast_def_0_1001.jpeg,train,训练集,缺陷件,cast_def_0_1001.jpeg,.jpeg,8.898,25521501c5b0b272a3c42b8e41e3bd25dfb3ac67ca53ae24b3dbc0b422848fad,1,,300,300,1.0,90000,RGB,139.7611,139.7611,139.7611,139.7611,57.3594,90.4809,0.023267,0.002444
data/casting_data/casting_data/train/def_front/cast_def_0_1004.jpeg,train,训练集,缺陷件,cast_def_0_1004.jpeg,.jpeg,10.335,04eec75aacc69268a0f7b76905cf895e2cdfdcea6a0d565a939213322b5c2bd0,1,,300,300,1.0,90000,RGB,132.5594,132.5594,132.5594,132.5594,62.9599,254.6111,0.063667,0.002544
data/casting_data/casting_data/train/def_front/cast_def_0_1007.jpeg,train,训练集,缺陷件,cast_def_0_1007.jpeg,.jpeg,9.939,8941ac3c04848854405e94fefa46539c7027e2c6af83994152af80ddf9b56c7c,1,,300,300,1.0,90000,RGB,146.2667,146.2667,146.2667,146.2667,58.6308,179.7348,0.039811,0.000656
data/casting_data/casting_data/train/def_front/cast_def_0_1008.jpeg,train,训练集,缺陷件,cast_def_0_1008.jpeg,.jpeg,9.519,72f72601381fc84ea7d9179c19cf3fe21770c40f4a06834cc5f0dbfba4fe8ef3,1,,300,300,1.0,90000,RGB,141.6623,141.6623,141.6623,141.6623,54.8765,181.862,0.054333,0.006656
data/casting_data/casting_data/train/def_front/cast_def_0_1014.jpeg,train,训练集,缺陷件,cast_def_0_1014.jpeg,.jpeg,10.557,aaefda7c189627a0d6f5debde7a7f7f0aa2dedbc9d42a2b982f97f4c0004bb05,1,,300,300,1.0,90000,RGB,140.2284,140.2284,140.2284,140.2284,61.0487,233.5121,0.050922,0.0005
data/casting_data/casting_data/train/def_front/cast_def_0_1016.jpeg,train,训练集,缺陷件,cast_def_0_1016.jpeg,.jpeg,8.618,1362a8937e34f110a34f7d86cfd0d22a72f7820fddf2e8c1561399ef263e8bcf,1,,300,300,1.0,90000,RGB,151.4371,151.4371,151.4371,151.4371,59.8364,81.306,0.034578,0.000567
data/casting_data/casting_data/train/def_front/cast_def_0_1019.jpeg,train,训练集,缺陷件,cast_def_0_1019.jpeg,.jpeg,9.505,aaf8e9e2493886e2cf2fc3be65167f823d29689ce554283cec30d5282dafd635,1,,300,300,1.0,90000,RGB,135.1497,135.1497,135.1497,135.1497,54.3667,171.3088,0.056311,0.001011
data/casting_data/casting_data/train/def_front/cast_def_0_1020.jpeg,train,训练集,缺陷件,cast_def_0_1020.jpeg,.jpeg,10.557,7b93289a763513a747baf78d39fed3e439bbc69a6c72b98c02437c119f7e985b,1,,300,300,1.0,90000,RGB,136.1852,136.1852,136.1852,136.1852,59.2435,236.7248,0.049956,0.000578
data/casting_data/casting_data/train/def_front/cast_def_0_1021.jpeg,train,训练集,缺陷件,cast_def_0_1021.jpeg,.jpeg,9.044,a4a34122ff8ef6625c107096d2bd40a7bcc8edeab8868165708651f8c007de02,1,,300,300,1.0,90000,RGB,141.7452,141.7452,141.7452,141.7452,56.6062,125.6011,0.044822,0.000856
data/casting_data/casting_data/train/def_front/cast_def_0_1025.jpeg,train,训练集,缺陷件,cast_def_0_1025.jpeg,.jpeg,9.202,0324fe3890ceb39eed7932e5606475c51974d53649f1c4e6db2b626ddbd00ce1,1,,300,300,1.0,90000,RGB,152.4303,152.4303,152.4303,152.4303,62.7098,95.3684,0.047744,0.004333
data/casting_data/casting_data/train/def_front/cast_def_0_103.jpeg,train,训练集,缺陷件,cast_def_0_103.jpeg,.jpeg,9.101,52680666d4048242b2b953b898ca39253fcf171ae789b0ed4d08b3cb99dfd739,1,,300,300,1.0,90000,RGB,136.1303,136.1303,136.1303,136.1303,58.0875,104.6246,0.037011,0.0033
data/casting_data/casting_data/train/def_front/cast_def_0_1031.jpeg,train,训练集,缺陷件,cast_def_0_1031.jpeg,.jpeg,9.11,2fe793fc6891e798a58916394d6f7706e151fb0e6b334ebc612a307f39afad34,1,,300,300,1.0,90000,RGB,139.4795,139.4795,139.4795,139.4795,55.5532,127.3519,0.0421,0.000411
data/casting_data/casting_data/train/def_front/cast_def_0_1037.jpeg,train,训练集,缺陷件,cast_def_0_1037.jpeg,.jpeg,9.792,1e5d2ca37ea7a839389ce942b525a0dc8afd761d3257de210c95df1cff43dd3e,1,,300,300,1.0,90000,RGB,137.5835,137.5835,137.5835,137.5835,55.562,178.4108,0.054378,0.002644
data/casting_data/casting_data/train/def_front/cast_def_0_1038.jpeg,train,训练集,缺陷件,cast_def_0_1038.jpeg,.jpeg,9.846,d71456c4f4e8536323f35133be92825c9a1d4d30953fe0b80a770209320d128c,1,,300,300,1.0,90000,RGB,133.3643,133.3643,133.3643,133.3643,56.5872,170.2798,0.063911,0.001189
data/casting_data/casting_data/train/def_front/cast_def_0_1042.jpeg,train,训练集,缺陷件,cast_def_0_1042.jpeg,.jpeg,9.796,fcf6e646554da02e0f06e916414b6d4411a17e0938d8a1b6b697b1e80eee1f0f,1,,300,300,1.0,90000,RGB,129.5537,129.5537,129.5537,129.5537,59.9321,123.6497,0.052789,0.000367
data/casting_data/casting_data/train/def_front/cast_def_0_1043.jpeg,train,训练集,缺陷件,cast_def_0_1043.jpeg,.jpeg,9.582,59bd8f6d07fb240c7c02274c327c401f9f75ef1701a9431ec260b0b4b40f6229,1,,300,300,1.0,90000,RGB,132.2058,132.2058,132.2058,132.2058,52.8331,129.9417,0.044111,0.003822
data/casting_data/casting_data/train/def_front/cast_def_0_1046.jpeg,train,训练集,缺陷件,cast_def_0_1046.jpeg,.jpeg,9.566,63344814e7b9469d4558c1c334afcf2839840106ee480f2f5125957e81f856bd,1,,300,300,1.0,90000,RGB,132.6671,132.6671,132.6671,132.6671,53.0393,129.6387,0.045211,0.004156
data/casting_data/casting_data/train/def_front/cast_def_0_1048.jpeg,train,训练集,缺陷件,cast_def_0_1048.jpeg,.jpeg,9.548,3626f097084ca8ef96abbff38b2b803a7e8b2bd58613bff3a1d88596e8a6a50e,1,,300,300,1.0,90000,RGB,132.6196,132.6196,132.6196,132.6196,54.5967,148.1044,0.049811,0.003478
data/casting_data/casting_data/train/def_front/cast_def_0_105.jpeg,train,训练集,缺陷件,cast_def_0_105.jpeg,.jpeg,8.984,976bfc5050ba399d31c31824ec830b49e16de785d645ff8e07e3b50db2b71b8f,1,,300,300,1.0,90000,RGB,139.3493,139.3493,139.3493,139.3493,53.669,108.897,0.036011,0.001278
data/casting_data/casting_data/train/def_front/cast_def_0_1053.jpeg,train,训练集,缺陷件,cast_def_0_1053.jpeg,.jpeg,9.282,93e7f84202f13d21c61f91c4d57164592e44631abed65f004ff7fe683f610e81,1,,300,300,1.0,90000,RGB,145.0128,145.0128,145.0128,145.0128,60.3286,92.6044,0.037667,0.001322
data/casting_data/casting_data/train/def_front/cast_def_0_1055.jpeg,train,训练集,缺陷件,cast_def_0_1055.jpeg,.jpeg,9.188,09612d1b7dfd193e37b20a4acf74004bdd84f755345be17aced2b7ddf530c435,1,,300,300,1.0,90000,RGB,138.5839,138.5839,138.5839,138.5839,55.4262,112.3201,0.033222,0.001544
data/casting_data/casting_data/train/def_front/cast_def_0_1056.jpeg,train,训练集,缺陷件,cast_def_0_1056.jpeg,.jpeg,10.293,14df95ffbff5bd894cddd0ffdb235a8131e942e90fb8ecdceb4b83b32220da2f,1,,300,300,1.0,90000,RGB,142.6882,142.6882,142.6882,142.6882,58.8037,257.0133,0.019044,0.004856
data/casting_data/casting_data/train/def_front/cast_def_0_1059.jpeg,train,训练集,缺陷件,cast_def_0_1059.jpeg,.jpeg,9.864,0d3fa90b625aea972f6f78277d2fddacd6893fa56ce6b14b0d02f79fd9b37b50,1,,300,300,1.0,90000,RGB,126.3132,126.3132,126.3132,126.3132,61.0677,211.0689,0.073456,0.0005
data/casting_data/casting_data/train/def_front/cast_def_0_1060.jpeg,train,训练集,缺陷件,cast_def_0_1060.jpeg,.jpeg,10.581,6a1c790e603696d6ad85bbe5044246989f0f6bace7a1e210441e3ef46728d1b5,1,,300,300,1.0,90000,RGB,139.0731,139.0731,139.0731,139.0731,58.5967,158.0512,0.036622,0.0004
data/casting_data/casting_data/train/def_front/cast_def_0_1061.jpeg,train,训练集,缺陷件,cast_def_0_1061.jpeg,.jpeg,9.546,16c957aadb603229884db8ca7415d064e8f9aee3fb9deebbdcefc8fefcaef359,1,,300,300,1.0,90000,RGB,137.186,137.186,137.186,137.186,55.9026,117.5633,0.040378,0.001822
data/casting_data/casting_data/train/def_front/cast_def_0_1066.jpeg,train,训练集,缺陷件,cast_def_0_1066.jpeg,.jpeg,9.13,d06814a80907dd5b811ab6fb837cb3eeb6ec5eeafa9762764201c805f28f7822,1,,300,300,1.0,90000,RGB,139.8295,139.8295,139.8295,139.8295,60.8491,125.3342,0.031889,0.0024
data/casting_data/casting_data/train/def_front/cast_def_0_1069.jpeg,train,训练集,缺陷件,cast_def_0_1069.jpeg,.jpeg,9.312,ff4f0cd84b239238c832c0c4c2ec064e3dda1935365b2ec5f53a468747be95f3,1,,300,300,1.0,90000,RGB,133.11,133.11,133.11,133.11,53.3077,121.8285,0.040433,0.001167
data/casting_data/casting_data/train/def_front/cast_def_0_107.jpeg,train,训练集,缺陷件,cast_def_0_107.jpeg,.jpeg,8.801,f9b6f4bec269db9d4adf6b267fde6b0db70c6270f076b52c20b8944b380ff7d3,1,,300,300,1.0,90000,RGB,138.2966,138.2966,138.2966,138.2966,53.3585,102.0951,0.038756,0.001011
data/casting_data/casting_data/train/def_front/cast_def_0_1070.jpeg,train,训练集,缺陷件,cast_def_0_1070.jpeg,.jpeg,9.166,9e4f74006d4dfca4c292a0add9e824082dbc432b3b3d36669a8406a22d81b831,1,,300,300,1.0,90000,RGB,154.0472,154.0472,154.0472,154.0472,63.2888,97.706,0.046956,0.007367
data/casting_data/casting_data/train/def_front/cast_def_0_1074.jpeg,train,训练集,缺陷件,cast_def_0_1074.jpeg,.jpeg,10.133,b8904a7a308ae148cb471d162193c72f016d8e0c9583f6b7c4b302d3fae30e4a,1,,300,300,1.0,90000,RGB,146.1368,146.1368,146.1368,146.1368,60.8824,210.3966,0.044656,0.002633
data/casting_data/casting_data/train/def_front/cast_def_0_1077.jpeg,train,训练集,缺陷件,cast_def_0_1077.jpeg,.jpeg,11.107,4c1d34994608c6a51ac0c7ab8b2bc25cd0faecc7e1ee6b5946afea867a7a2d64,1,,300,300,1.0,90000,RGB,133.4042,133.4042,133.4042,133.4042,63.5038,241.1137,0.063233,0.003344
data/casting_data/casting_data/train/def_front/cast_def_0_1082.jpeg,train,训练集,缺陷件,cast_def_0_1082.jpeg,.jpeg,9.562,2061a2ed1f4449c957e44f1560252c159d7c314a8f024cd559da0001f7105e61,1,,300,300,1.0,90000,RGB,141.5108,141.5108,141.5108,141.5108,54.8689,179.7411,0.052633,0.006878
data/casting_data/casting_data/train/def_front/cast_def_0_1084.jpeg,train,训练集,缺陷件,cast_def_0_1084.jpeg,.jpeg,9.684,45fbe6488ff6700fa91a4c12cc6c22e3693daaff2ce86f109ba42ff340a25995,1,,300,300,1.0,90000,RGB,138.1166,138.1166,138.1166,138.1166,54.9765,140.7448,0.035722,0.001222
